sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
Nc1cc2c(cc1-c1ccccc1)-c1ccccc1C21c2ccccc2-c2ccccc21,O=C(Nc1cc2c(cc1-c1ccccc1)-c1ccccc1C21c2ccccc2-c2ccccc21)[C@@H]1[C@H](C(=O)Nc2cc3c(cc2-c2ccccc2)-c2ccccc2C32c3ccccc3-c3ccccc32)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,407.516,33.086,11.6556,4.4364,0,False,0,True,True,,33.086,11.6556,4.4364,51.86131120903134,2.913556809496143,31.558323154438984,4.508331879205569,35.81359853910243,7.162719707820486,42.636728771330475,6.090961253047211
O=c1oc2ccccc2c(O)c1C(c1ccc2c(c1)OCO2)c1c(O)c2ccccc2oc1=O,O=C(Oc1c(C(c2ccc3c(c2)OCO3)c2c(O)c3ccccc3oc2=O)c(=O)oc2ccccc12)[C@@H]1[C@H](C(=O)Oc2c(C(c3ccc4c(c3)OCO4)c3c(O)c4ccccc4oc3=O)c(=O)oc3ccccc23)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,diol,456.406,33.0455,16.9694,13.9239,10,False,0,True,True,,33.0455,16.9694,13.9239,45.13890858860014,2.535893740932592,34.22677882258276,4.889539831797537,40.0435089442721,8.00870178885442,46.234110876819074,6.604872982402725
c1ccc2c(-c3ccc(Nc4ccc(-c5cccc6c5oc5ccccc56)cc4)cc3)cccc2c1,O=C([C@@H]1[C@H](C(=O)N(c2ccc(-c3cccc4ccccc34)cc2)c2ccc(-c3cccc4c3oc3ccccc34)cc2)[C@@H]2C=C[C@@H]1C2)N(c1ccc(-c2cccc3ccccc23)cc1)c1ccc(-c2cccc3c2oc2ccccc23)cc1,amide,Ambeed,monoamine,461.564,32.9336,-2.141,5.3154,2,False,0,True,True,,32.9336,-2.141,5.3154,53.96923340200415,3.031979404606975,30.864723455751225,4.40924620796446,33.7571318983115,6.7514263796623,40.870914278983285,5.838702039854755
Nc1c(C(=O)NCc2ccc3c(c2)OCO3)sc2nc(-c3ccccc3)cc(-c3ccccc3)c12,O=C(NCc1ccc2c(c1)OCO2)c1sc2nc(-c3ccccc3)cc(-c3ccccc3)c2c1NC(=O)[C@@H]1[C@H](C(=O)Nc2c(C(=O)NCc3ccc4c(c3)OCO4)sc3nc(-c4ccccc4)cc(-c4ccccc4)c23)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,479.561,32.836,22.7922,9.3537,6,False,0,True,True,,32.836,22.7922,9.3537,48.30880094278888,2.7139775810555546,35.72242164985459,5.103203092836369,41.23994748456889,8.247989496913778,47.210275031289534,6.744325004469934
Nc1ccc2c(c1)c(-c1ccncc1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,O=C(Nc1ccc2c(c1)c(-c1ccncc1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1)[C@@H]1[C@H](C(=O)Nc2ccc3c(c2)c(-c2ccncc2)nn3C(c2ccccc2)(c2ccccc2)c2ccccc2)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,452.561,32.8181,-3.563,6.2922,6,False,0,True,True,,32.8181,-3.563,6.2922,53.655745081771066,3.0143677012230934,30.959606914171246,4.422800987738749,33.81829771410737,6.7636595428214745,40.88078448709124,5.840112069584463
Oc1cccc(-c2nc(-c3ccc(-c4ccccc4)cc3)c(-c3ccc(-c4ccccc4)cc3)[nH]2)c1,O=C(Oc1cccc(-c2nc(-c3ccc(-c4ccccc4)cc3)c(-c3ccc(-c4ccccc4)cc3)[nH]2)c1)[C@@H]1[C@H](C(=O)Oc2cccc(-c3nc(-c4ccc(-c5ccccc5)cc4)c(-c4ccc(-c5ccccc5)cc4)[nH]3)c2)[C@@H]2C=C[C@@H]1C2,ester,Ambeed,monoalcohol,464.568,32.7597,0.0916,6.5826,4,False,0,True,True,,32.7597,0.0916,6.5826,52.157442706482456,2.9301934104765426,30.18023243250456,4.31146177607208,33.57120655680996,6.7142413113619925,40.65593769278973,5.8079910989699615
O=c1cc(Cl)c2cc(=Nc3ccccc3)c3c(O)cc(Cl)c4cc(Nc5ccccc5)c1c-2c43,O=C([C@@H]1[C@H](C(=O)N(c2ccccc2)c2cc3c(Cl)cc(O)c4c(=Nc5ccccc5)cc5c(Cl)cc(=O)c2c-5c34)[C@@H]2C=C[C@@H]1C2)N(c1ccccc1)c1cc2c(Cl)cc(O)c3c(=Nc4ccccc4)cc4c(Cl)cc(=O)c1c-4c23,amide,Sigma-Aldrich,"monoalcohol,monoamine",483.354,32.7256,0.6802,14.7341,4,False,0,True,True,,32.7256,0.6802,14.7341,46.706105556875535,2.6239385144312095,31.412256466067507,4.4874652094382155,36.01052229960015,7.2021044599200295,42.680850463527555,6.097264351932508
COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,COc1ccc(-c2cc3ccccc3c(-c3c(OC(=O)[C@@H]4[C@H](C(=O)Oc5c(-c6ccc(OC)cc6)cc6ccccc6c5-c5c(O)c(-c6ccc(OC)cc6)cc6ccccc56)[C@@H]5C=C[C@@H]4C5)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,ester,Ambeed,diol,498.578,32.7126,1.2946,12.2501,0,False,0,True,True,,32.7126,1.2946,12.2501,48.003538142620286,2.6968279855404655,30.690300001955016,4.38432857170786,35.060443440008,7.0120886880016,41.8778888461441,5.982555549449158
Cc1c(Cc2ccccc2)c(Nc2cc(Cl)c(Cl)cc2Cl)n2c(nc3ccccc32)c1C#N,Cc1c(Cc2ccccc2)c(N(C(=O)[C@@H]2[C@H](C(=O)N(c3cc(Cl)c(Cl)cc3Cl)c3c(Cc4ccccc4)c(C)c(C#N)c4nc5ccccc5n34)[C@@H]3C=C[C@@H]2C3)c2cc(Cl)c(Cl)cc2Cl)n2c(nc3ccccc32)c1C#N,amide,Sigma-Aldrich,monoamine,491.809,32.71,12.5228,4.2242,4,False,0,True,True,,32.71,12.5228,4.2242,51.44505676428009,2.890171728330342,31.067873204968503,4.4382676007097865,35.38102295694685,7.07620459138937,42.14575643501965,6.02082234785995
c1ccc(-c2ccc(-c3csc4ncnc(NCCc5ccc6c(c5)OCCO6)c34)cc2)cc1,O=C([C@@H]1[C@H](C(=O)N(CCc2ccc3c(c2)OCCO3)c2ncnc3scc(-c4ccc(-c5ccccc5)cc4)c23)[C@@H]2C=C[C@@H]1C2)N(CCc1ccc2c(c1)OCCO2)c1ncnc2scc(-c3ccc(-c4ccccc4)cc3)c12,amide,Sigma-Aldrich,monoamine,465.578,32.687,8.0434,2.028,6,False,0,True,True,,32.687,8.0434,2.028,53.54169724205612,3.0079605192166357,30.26076045904993,4.322965779864275,33.807456922401,6.7614913844802,40.82560157009324,5.832228795727606
c1ccc(-c2cccc(-c3ccc(Nc4ccc(-c5cccc(-c6ccccc6)c5)cc4)cc3)c2)cc1,O=C([C@@H]1[C@H](C(=O)N(c2ccc(-c3cccc(-c4ccccc4)c3)cc2)c2ccc(-c3cccc(-c4ccccc4)c3)cc2)[C@@H]2C=C[C@@H]1C2)N(c1ccc(-c2cccc(-c3ccccc3)c2)cc1)c1ccc(-c2cccc(-c3ccccc3)c2)cc1,amide,Ambeed,monoamine,473.619,32.6753,-4.409,6.921,0,False,0,True,True,,32.6753,-4.409,6.921,53.36819879253936,2.9982134153112,30.92178717926892,4.417398168466989,33.76301708023144,6.752603416046289,40.784678034281455,5.826382576325922
C(=N/Nc1ncnc2sc3c(c12)CCCC3)\c1c(-c2ccccc2)n(-c2ccccc2)c2ccccc12,O=C([C@@H]1[C@H](C(=O)N(/N=C/c2c(-c3ccccc3)n(-c3ccccc3)c3ccccc23)c2ncnc3sc4c(c23)CCCC4)[C@@H]2C=C[C@@H]1C2)N(/N=C/c1c(-c2ccccc2)n(-c2ccccc2)c2ccccc12)c1ncnc2sc3c(c12)CCCC3,amide,Sigma-Aldrich,monoamine,499.643,32.6479,-2.1992,0.3048,8,False,0,True,True,,32.6479,-2.1992,0.3048,57.19274080965171,3.2130753263849274,30.757615013521445,4.393945001931635,32.77109582116533,6.554219164233066,39.957530470738554,5.708218638676937
CC1(O)CC(c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn23)C1,CC1(OC(=O)[C@@H]2[C@H](C(=O)OC3(C)CC(c4nc(-c5ccc6ccc(-c7ccccc7)nc6c5)c5c(N)nccn45)C3)[C@@H]3C=C[C@@H]2C3)CC(c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn23)C1,ester,Ambeed,"monoalcohol,monoamine",421.504,32.642,2.9322,4.6354,8,False,0,True,True,,32.642,2.9322,4.6354,52.581195745247186,2.953999760968943,29.71235477036447,4.244622110052068,33.14104081045133,6.6282081620902655,40.25938630928197,5.751340901325996
c1ccc(-c2ccc(-c3csc4ncnc(Nc5ccc6c(c5)OCO6)c34)cc2)cc1,O=C([C@@H]1[C@H](C(=O)N(c2ccc3c(c2)OCO3)c2ncnc3scc(-c4ccc(-c5ccccc5)cc4)c23)[C@@H]2C=C[C@@H]1C2)N(c1ccc2c(c1)OCO2)c1ncnc2scc(-c3ccc(-c4ccccc4)cc3)c12,amide,Sigma-Aldrich,monoamine,423.497,32.6302,9.0132,3.6738,8,False,0,True,True,,32.6302,9.0132,3.6738,52.10157107842335,2.9270545549676035,30.153260998439293,4.307608714062757,34.07985194862208,6.8159703897244155,41.03152530481898,5.8616464721169965
OC1(c2ccc(C3(O)c4ccccc4-c4ccccc43)cc2)c2ccccc2-c2ccccc21,O=C(OC1(c2ccc(C3(O)c4ccccc4-c4ccccc43)cc2)c2ccccc2-c2ccccc21)[C@@H]1[C@H](C(=O)OC2(c3ccc(C4(O)c5ccccc5-c5ccccc54)cc3)c3ccccc3-c3ccccc32)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,diol,438.526,32.6068,0.8636,8.5375,0,False,0,True,True,,32.6068,0.8636,8.5375,50.39431948315207,2.831141543997307,29.92342621041247,4.274775172916067,33.72360621537975,6.744721243075951,40.72784620097164,5.818263742995948
Oc1c(-c2ccccn2)cc2ccccc2c1-c1c(O)c(-c2ccccn2)cc2ccccc12,O=C(Oc1c(-c2ccccn2)cc2ccccc2c1-c1c(O)c(-c2ccccn2)cc2ccccc12)[C@@H]1[C@H](C(=O)Oc2c(-c3ccccn3)cc3ccccc3c2-c2c(O)c(-c3ccccn3)cc3ccccc23)[C@@H]2C=C[C@@H]1C2,ester,Ambeed,diol,440.502,32.5589,2.0366,9.0725,4,False,0,True,True,,32.5589,2.0366,9.0725,49.62930155311477,2.7881630086019533,29.79153458031325,4.255933511473321,33.821077934477486,6.764215586895498,40.79168582750657,5.827383689643796
Nc1ccc(C(O)(c2ccc(N)cc2)c2ccc(N)cc2)cc1,Nc1ccc(C(OC(=O)[C@@H]2[C@H](C(=O)OC(c3ccc(N)cc3)(c3ccc(N)cc3)c3ccc(N)cc3)[C@@H]3C=C[C@@H]2C3)(c2ccc(N)cc2)c2ccc(N)cc2)cc1,ester,Sigma-Aldrich,monoalcohol,305.381,32.5307,16.4002,23.8043,0,False,0,True,True,,32.5307,16.4002,23.8043,38.761192557634246,2.177595087507542,36.86836704398501,5.266909577712144,43.466697004603425,8.693339400920685,49.07787595740061,7.011125136771516
Nc1c(C(=O)Nc2cccc(Cl)c2)sc2nc(-c3ccc(Cl)cc3)cc(-c3ccccc3)c12,O=C(Nc1cccc(Cl)c1)c1sc2nc(-c3ccc(Cl)cc3)cc(-c3ccccc3)c2c1NC(=O)[C@@H]1[C@H](C(=O)Nc2c(C(=O)Nc3cccc(Cl)c3)sc3nc(-c4ccc(Cl)cc4)cc(-c4ccccc4)c23)[C@@H]2C=C[C@@H]1C2,amide,Oakwood Products,monoamine,490.415,32.5055,15.2634,3.5855,4,False,0,True,True,,32.5055,15.2634,3.5855,51.5373962362283,2.895359339113949,31.587958003169494,4.512565429024213,36.00416796441767,7.200833592883534,42.601156214473804,6.085879459210544
OC(c1ccc(-c2ccccc2)cc1)(c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,O=C(OC(c1ccc(-c2ccccc2)cc1)(c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1)[C@@H]1[C@H](C(=O)OC(c2ccc(-c3ccccc3)cc2)(c2ccc(-c3ccccc3)cc2)c2ccc(-c3ccccc3)cc2)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,488.63,32.4353,-2.1874,8.2836,0,False,0,True,True,,32.4353,-2.1874,8.2836,51.33336665444806,2.8838970030588795,30.02620342434254,4.289457632048935,33.3885365369613,6.677707307392259,40.38973894543018,5.769962706490026
c1ccc(-n2c3ccccc3c3ccc(Nc4ccc5c(c4)oc4ccccc45)cc32)cc1,O=C([C@@H]1[C@H](C(=O)N(c2ccc3c(c2)oc2ccccc23)c2ccc3c4ccccc4n(-c4ccccc4)c3c2)[C@@H]2C=C[C@@H]1C2)N(c1ccc2c(c1)oc1ccccc12)c1ccc2c3ccccc3n(-c3ccccc3)c2c1,amide,Ambeed,monoamine,424.503,32.3445,3.6306,4.6788,4,False,0,True,True,,32.3445,3.6306,4.6788,51.993321367267924,2.92097311052067,29.10183614138461,4.1574051630549445,32.63091090974935,6.526182181949871,39.73283210142463,5.67611887163209
CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCOC(=O)[C@@H]3[C@H](C(=O)OCCC4CCN(CCCN5c6ccccc6Sc6ccc(S(=O)(=O)N(C)C)cc65)CC4)[C@@H]4C=C[C@@H]3C4)CC1)c1ccccc1S2,ester,Sigma-Aldrich,monoalcohol,475.68,32.3337,50.7162,3.0247,0,False,0,True,True,,32.3337,50.7162,3.0247,62.299739608524845,3.4999853712654407,55.161557585786134,7.880222512255162,60.07994586623727,12.015989173247453,64.2122297953435,9.173175685049072
NS(=O)(=O)c1ccc(Nc2nc(-c3cccc(-c4ccccc4)c3)c3[nH]cnc3n2)cc1,NS(=O)(=O)c1ccc(N(C(=O)[C@@H]2[C@H](C(=O)N(c3ccc(S(N)(=O)=O)cc3)c3nc(-c4cccc(-c5ccccc5)c4)c4[nH]cnc4n3)[C@@H]3C=C[C@@H]2C3)c2nc(-c3cccc(-c4ccccc4)c3)c3[nH]cnc3n2)cc1,amide,Ambeed,monoamine,442.504,32.3192,18.2624,4.0218,10,False,0,True,True,,32.3192,18.2624,4.0218,51.00863655852801,2.8656537392431467,32.42980548137778,4.632829354482539,37.096485056673494,7.419297011334699,43.46656374226056,6.209509106037223
COc1cccc(-c2cn(-c3ccc(CCN4CCC(O)CC4)cc3)c3ncnc(N)c23)c1,COc1cccc(-c2cn(-c3ccc(CCN4CCC(OC(=O)[C@@H]5[C@H](C(=O)OC6CCN(CCc7ccc(-n8cc(-c9cccc(OC)c9)c9c(N)ncnc98)cc7)CC6)[C@@H]6C=C[C@@H]5C6)CC4)cc3)c3ncnc(N)c23)c1,ester,Sigma-Aldrich,monoalcohol,443.551,32.3067,6.161,8.2549,6,False,0,True,True,,32.3067,6.161,8.2549,48.84399056762255,2.744044413911379,29.23147232983655,4.175924618548079,33.62973497620818,6.725946995241635,40.54370523977797,5.791957891396853
Oc1c(-c2c(-c3ccccc3)cc3ccccc3c2O)c(-c2ccccc2)cc2ccccc12,O=C(Oc1c(-c2c(-c3ccccc3)cc3ccccc3c2O)c(-c2ccccc2)cc2ccccc12)[C@@H]1[C@H](C(=O)Oc2c(-c3c(-c4ccccc4)cc4ccccc4c3O)c(-c3ccccc3)cc3ccccc23)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,diol,438.526,32.2859,1.2646,7.7037,0,False,0,True,True,,32.2859,1.2646,7.7037,50.409341813695605,2.8319854951514385,29.17476344531348,4.167823349330497,32.91112581012688,6.582225162025376,39.942159707381876,5.706022815340268
O=C(CSc1nc(-c2ccccc2)c2sc(N/N=C/c3ccccc3)nc2n1)c1ccccc1,O=C(CSc1nc(-c2ccccc2)c2sc(N(/N=C/c3ccccc3)C(=O)[C@@H]3[C@H](C(=O)N(/N=C/c4ccccc4)c4nc5nc(SCC(=O)c6ccccc6)nc(-c6ccccc6)c5s4)[C@@H]4C=C[C@@H]3C4)nc2n1)c1ccccc1,amide,Sigma-Aldrich,monoamine,481.606,32.2825,19.9494,4.9884,8,False,0,True,True,,32.2825,19.9494,4.9884,50.34245206503155,2.828227644102896,33.11821553042977,4.731173647204253,38.008208586040986,7.601641717208198,44.23527913238482,6.319325590340688
Cc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(C)cc4)cc4ccccc34)c2O)cc1,Cc1ccc(-c2cc3ccccc3c(-c3c(OC(=O)[C@@H]4[C@H](C(=O)Oc5c(-c6ccc(C)cc6)cc6ccccc6c5-c5c(O)c(-c6ccc(C)cc6)cc6ccccc56)[C@@H]5C=C[C@@H]4C5)c(-c4ccc(C)cc4)cc4ccccc34)c2O)cc1,ester,Ambeed,diol,466.58,32.2601,0.2394,4.5617,0,False,0,True,True,,32.2601,0.2394,4.5617,52.87891458123928,2.9707255382718696,29.16604819460463,4.166578313514948,32.24539637359107,6.449079274718214,39.38599328809673,5.626570469728104
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,O=C(OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1)[C@@H]1[C@H](C(=O)OCCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,403.979,32.2599,29.5148,4.6181,0,False,0,True,True,,32.2599,29.5148,4.6181,52.21256935537649,2.933290413223398,38.64260030963238,5.520371472804626,43.71869049605672,8.743738099211345,49.22203793718827,7.03171970531261
