sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)Nc3cc(OC)ccc32)S1,COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)[C@@H]3[C@H](C(=O)N4c5cc(OC)ccc5C(=C5SC(C(=O)OC)=C(C(=O)OC)S5)C(=S)C4(C)C)[C@@H]4C=C[C@@H]3C4)c3cc(OC)ccc32)S1,amide,Combi-Blocks,monoamine,437.564,28.3568,62.6708,7.0615,0,False,0,True,True,,28.3568,62.6708,7.0615,63.883524322394734,3.5889620405839735,62.4678262776127,8.9239751825161,67.52006857112927,13.504013714225854,70.41331905151183,10.059045578787405
Nc1cccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c1,O=C(Nc1cccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c1)[C@@H]1[C@H](C(=O)Nc2cccc(S(=O)(=O)N3CCCN(S(=O)(=O)c4ccc5c(c4)OCCO5)CC3)c2)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,453.542,32.04,62.0392,11.0859,0,False,0,True,True,,32.04,62.0392,11.0859,64.71641503861288,3.635753653854656,64.98060676424929,9.282943823464183,70.44678782918352,14.089357565836703,73.94526296829298,10.563608995470426
CCOc1ccc2c(c1)C(=C1SC(C(=O)OC)=C(C(=O)OC)S1)C(=S)C(C)(C)N2,CCOc1ccc2c(c1)C(=C1SC(C(=O)OC)=C(C(=O)OC)S1)C(=S)C(C)(C)N2C(=O)[C@@H]1[C@H](C(=O)N2c3ccc(OCC)cc3C(=C3SC(C(=O)OC)=C(C(=O)OC)S3)C(=S)C2(C)C)[C@@H]2C=C[C@@H]1C2,amide,Combi-Blocks,monoamine,451.591,28.0616,60.9906,4.7955,0,False,0,True,True,,28.0616,60.9906,4.7955,63.733168655339895,3.5805150929966234,60.67153094203244,8.667361563147491,65.54533581308436,13.109067162616872,68.45995272310667,9.779993246158096
N#Cc1c(N)nc(SCC(N)=O)c(C#N)c1-c1ccc(OCC2CC2)cc1,N#Cc1c(NC(=O)[C@@H]2[C@H](C(=O)Nc3nc(SCC(N)=O)c(C#N)c(-c4ccc(OCC5CC5)cc4)c3C#N)[C@@H]3C=C[C@@H]2C3)nc(SCC(N)=O)c(C#N)c1-c1ccc(OCC2CC2)cc1,amide,Sigma-Aldrich,monoamine,379.445,29.6993,60.6438,12.9431,2,False,0,True,True,,29.6993,60.6438,12.9431,60.509312820507226,3.3993995966577093,61.98089978380436,8.854414254829194,67.55264079227399,13.510528158454798,70.71844962956979,10.102635661367113
CNS(=O)(=O)c1cc(S(N)(=O)=O)c(Cl)cc1N,CNS(=O)(=O)c1cc(S(N)(=O)=O)c(Cl)cc1NC(=O)[C@@H]1[C@H](C(=O)Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)NC)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,299.761,26.7269,59.895,17.9983,2,False,0,True,True,,26.7269,59.895,17.9983,54.968325264010005,3.0881081608994383,60.08665161522982,8.58380737360426,65.92594938512453,13.185189877024905,68.54462431387309,9.792089187696154
Nc1c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c1Cl,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c3Cl)[C@@H]3C=C[C@@H]2C3)c(Cl)c1Cl,amide,Sigma-Aldrich,monoamine,320.179,27.5652,59.849,5.7425,4,False,0,True,True,,27.5652,59.849,5.7425,61.97952735710397,3.481995918938425,59.26032341634662,8.465760488049517,64.20668213986765,12.84133642797353,67.07291399223683,9.581844856033834
O=C1c2cc(S(=O)(=O)NCCCO)ccc2-c2ccc(S(=O)(=O)NCCCO)cc21,O=C1c2cc(S(=O)(=O)NCCCO)ccc2-c2ccc(S(=O)(=O)NCCCOC(=O)[C@@H]3[C@H](C(=O)OCCCNS(=O)(=O)c4ccc5c(c4)C(=O)c4cc(S(=O)(=O)NCCCO)ccc4-5)[C@@H]4C=C[C@@H]3C4)cc21,ester,Sigma-Aldrich,diol,454.526,29.7316,59.2048,16.7789,0,False,0,True,True,,29.7316,59.2048,16.7789,57.68999083454599,3.2410107210419095,61.28039492766018,8.754342132522883,67.14440663592165,13.428881327184332,70.33520755987004,10.047886794267148
CCOc1cc(C2C(C#N)=C(N)SC(N)=C2C#N)ccc1O,CCOc1cc(C2C(C#N)=C(N)SC(N)=C2C#N)ccc1OC(=O)[C@@H]1[C@H](C(=O)Oc2ccc(C3C(C#N)=C(N)SC(N)=C3C#N)cc2OCC)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,314.37,26.2779,59.0312,5.9844,4,False,0,True,True,,26.2779,59.0312,5.9844,60.29228383831549,3.3872069572087353,57.681738968585194,8.2402484240836,62.59975695192434,12.519951390384868,65.25283971169377,9.32183424452768
Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3cc(Cl)c(S(N)(=O)=O)cc3S(N)(=O)=O)[C@@H]3C=C[C@@H]2C3)cc1Cl,amide,Sigma-Aldrich,monoamine,285.734,26.7269,58.883,6.5341,4,False,0,True,True,,26.7269,58.883,6.5341,60.18574936187137,3.3812218742624367,57.81831739379831,8.259759627685472,62.807508518090415,12.561501703618083,65.55087982819148,9.364411404027354
Cc1c(N)c(S(N)(=O)=O)cc(S(N)(=O)=O)c1Cl,Cc1c(Cl)c(S(N)(=O)=O)cc(S(N)(=O)=O)c1NC(=O)[C@@H]1[C@H](C(=O)Nc2c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c2C)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,299.761,26.71,58.7948,4.9631,4,False,0,True,True,,26.71,58.7948,4.9631,61.05813138845637,3.430232100475077,57.71723944065586,8.245319920093694,62.56942758768055,12.51388551753611,65.31907277855375,9.331296111221963
