sidechain_smiles,monomer_smiles,source,link,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,Ra_Diiodomethane,Ra_n_Hexadecane,Ra_PTFE,RED_Water,RED_Diiodomethane,RED_n_Hexadecane,RED_PTFE
CC(C)(C)[Si](C)(C)OCC(N)(CO[Si](C)(C)C(C)(C)C)CO[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)OCC(CO[Si](C)(C)C(C)(C)C)(CO[Si](C)(C)C(C)(C)C)NC(=O)[C@@H]1[C@H](C(=O)NC(CO[Si](C)(C)C(C)(C)C)(CO[Si](C)(C)C(C)(C)C)CO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,Ambeed,https://www.ambeed.com/products/102522-47-4.html,5.1479,-20.5798,-9.211200000000002,66.4842040722456,38.15733941353878,31.715165317557467,27.138740411448723,3.7350676445081796,5.451048487648397,6.343033063511493,3.876962915921246
N#CSc1cc(S(N)(=O)=O)ccc1N,N#CSc1cc(S(N)(=O)=O)ccc1NC(=O)[C@@H]1[C@H](C(=O)Nc2ccc(S(N)(=O)=O)cc2SC#N)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph008161,26.3922,65.8036,6.1957,65.25702364351288,64.24829410038838,69.10796245592833,71.54303484484007,3.666124923792858,9.178327728626911,13.821592491185665,10.220433549262866
C[Si](C)(C)O[Si](CCCN)(O[Si](C)(C)C)O[Si](C)(C)C,C[Si](C)(C)O[Si](CCCNC(=O)[C@@H]1[C@H](C(=O)NCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)[C@@H]2C=C[C@@H]1C2)(O[Si](C)(C)C)O[Si](C)(C)C,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/sial/09329?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,13.3743,-4.673199999999998,-19.3852,65.19600830756434,27.76905146453512,20.781329583065663,19.986082638676343,3.662697095930581,3.967007352076446,4.156265916613132,2.855154662668049
Nc1cccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c1,O=C(Nc1cccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c1)[C@@H]1[C@H](C(=O)Nc2cccc(S(=O)(=O)N3CCCN(S(=O)(=O)c4ccc5c(c4)OCCO5)CC3)c2)[C@@H]2C=C[C@@H]1C2,Ambeed,https://www.ambeed.com/products/1203494-49-8.html,32.04,62.0392,11.0859,64.71641503861288,64.98060676424929,70.44678782918352,73.94526296829298,3.635753653854656,9.282943823464183,14.089357565836703,10.563608995470426
CC(C)(C)OC(=O)N(CCN)C(CO[Si](C)(C)C(C)(C)C)CO[Si](C)(C)C(C)(C)C,CC(C)(C)OC(=O)N(CCNC(=O)[C@@H]1[C@H](C(=O)NCCN(C(=O)OC(C)(C)C)C(CO[Si](C)(C)C(C)(C)C)CO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2)C(CO[Si](C)(C)C(C)(C)C)CO[Si](C)(C)C(C)(C)C,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QJ-1726,-3.4895,-7.124999999999998,-4.3482,64.44551675050793,45.07226319190107,40.44959467337095,33.43758527824639,3.62053464890494,6.438894741700153,8.089918934674191,4.776797896892341
COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)Nc3cc(OC)ccc32)S1,COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)[C@@H]3[C@H](C(=O)N4c5cc(OC)ccc5C(=C5SC(C(=O)OC)=C(C(=O)OC)S5)C(=S)C4(C)C)[C@@H]4C=C[C@@H]3C4)c3cc(OC)ccc32)S1,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QY-9632,28.3568,62.6708,7.0615,63.883524322394734,62.4678262776127,67.52006857112927,70.41331905151183,3.5889620405839735,8.9239751825161,13.504013714225854,10.059045578787405
CCOc1ccc2c(c1)C(=C1SC(C(=O)OC)=C(C(=O)OC)S1)C(=S)C(C)(C)N2,CCOc1ccc2c(c1)C(=C1SC(C(=O)OC)=C(C(=O)OC)S1)C(=S)C(C)(C)N2C(=O)[C@@H]1[C@H](C(=O)N2c3ccc(OCC)cc3C(=C3SC(C(=O)OC)=C(C(=O)OC)S3)C(=S)C2(C)C)[C@@H]2C=C[C@@H]1C2,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QY-7451,28.0616,60.9906,4.7955,63.733168655339895,60.67153094203244,65.54533581308436,68.45995272310667,3.5805150929966234,8.667361563147491,13.109067162616872,9.779993246158096
CC(C)(C)[Si](C)(C)OCC(O)CO[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)OCC(CO[Si](C)(C)C(C)(C)C)OC(=O)[C@@H]1[C@H](C(=O)OC(CO[Si](C)(C)C(C)(C)C)CO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,Ambeed,https://www.ambeed.com/products/85951-09-3.html,9.0277,-25.1956,-4.1134,63.39435170486405,35.309834155373764,29.381690014020638,26.564665781447353,3.5614804328575307,5.044262022196252,5.876338002804127,3.794952254492479
C[Si](C)(C)Nc1ncnc2c1ncn2[Si](C)(C)C,C[Si](C)(C)N(C(=O)[C@@H]1[C@H](C(=O)N(c2ncnc3c2ncn3[Si](C)(C)C)[Si](C)(C)C)[C@@H]2C=C[C@@H]1C2)c1ncnc2c1ncn2[Si](C)(C)C,Oakwood Products,http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=131049&ExtHyperLink=1,19.884,-22.1916,-7.2674,63.18546729525706,29.345362790737482,24.426674708604935,27.417542510589822,3.5497453536661268,4.192194684391069,4.885334941720987,3.9167917872271176
Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,O=C(Nc1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1)[C@@H]1[C@H](C(=O)Nc2ccc(C=Cc3ccc([N+](=O)[O-])cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)[C@@H]2C=C[C@@H]1C2,Thermo Fisher Scientific,https://www.thermofisher.com/order/catalog/product/B21467.06,28.9233,58.0436,4.0109,62.88449261407776,58.55474405485861,63.423478549587614,66.61778044433782,3.5328366637122333,8.364963436408372,12.684695709917523,9.516825777762547
