sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
CCCC1=C(O)C(=O)CC1,CCCC1=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=C(CCC)CCC3=O)[C@@H]3C=C[C@@H]2C3)C(=O)CC1,ester,Sigma-Aldrich,monoalcohol,140.182,12.845,0.7288,3.8696,2,False,0,True,True,,12.845,0.7288,3.8696,41.69294057271566,2.342300032175037,10.53199001138911,1.5045700016270158,7.953178836163563,1.5906357672327125,3.948297557175751,0.5640425081679644
CC(C)(C)[Si](C)(C)OCCCCN,CC(C)(C)[Si](C)(C)OCCCCNC(=O)[C@@H]1[C@H](C(=O)NCCCCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,203.402,14.7717,6.3974,5.174,0,True,2,True,True,,14.3887,-1.6401999999999992,-1.4425999999999997,47.21791674311775,2.6526919518605476,11.200061676615892,1.6000088109451274,4.402683449897347,0.8805366899794693,4.022211028775095,0.5746015755392992
CC(C)(C)[Si](C)(C)OCCOCCN,CC(C)(C)[Si](C)(C)OCCOCCNC(=O)[C@@H]1[C@H](C(=O)NCCOCCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,219.401,14.9764,8.652,5.4062,0,True,2,True,True,,14.5934,0.6143999999999998,-1.2104,46.18613741979296,2.594726821336683,9.8465105372411,1.4066443624630143,3.6732124577813354,0.734642491556267,4.022736600872598,0.574676657267514
CCCCCCCCCCCC(O)(CC)CC,CCCCCCCCCCCC(CC)(CC)OC(=O)[C@@H]1[C@H](C(=O)OC(CC)(CC)CCCCCCCCCCC)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,242.447,13.0694,-2.437,3.117,0,False,0,True,True,,13.0694,-2.437,3.117,43.57593055162448,2.448085986046319,11.63402610621104,1.66200372945872,7.5763951480898895,1.515279029617978,4.0249824148684175,0.5749974878383454
CC(C)(C)[Si](C)(C)CCN,CC(C)(C)[Si](C)(C)CCNC(=O)[C@@H]1[C@H](C(=O)NCC[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,159.349,14.4963,5.3992,5.4062,0,True,2,True,True,,14.1133,-2.638399999999999,-1.2104,47.415573499431595,2.663796264013011,11.92254881642344,1.7032212594890628,5.249080898595486,1.0498161797190972,4.051652783741471,0.5788075405344958
CCCCCCCCC(C)(O)CCCCCCCC,CCCCCCCCC(C)(CCCCCCCC)OC(=O)[C@@H]1[C@H](C(=O)OC(C)(CCCCCCCC)CCCCCCCC)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,270.501,13.1464,-2.9814,2.6526,0,False,0,True,True,,13.1464,-2.9814,2.6526,44.208230054595035,2.4836084300334287,11.919954889176386,1.7028506984537695,7.463632129198225,1.492726425839645,4.089269440865936,0.5841813486951336
CCCCCCCCCC(O)(CC)CC,CCCCCCCCCC(CC)(CC)OC(=O)[C@@H]1[C@H](C(=O)OC(CC)(CC)CCCCCCCCC)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,214.393,12.9917,-1.8926,3.5814,0,False,0,True,True,,12.9917,-1.8926,3.5814,42.946960268219215,2.412750576866248,11.389215788630928,1.6270308269472753,7.75807684158903,1.551615368317806,4.092519551572112,0.5846456502245874
CCCCCCCCCCC(C)(C)O,CCCCCCCCCCC(C)(C)OC(=O)[C@@H]1[C@H](C(=O)OC(C)(C)CCCCCCCCCC)[C@@H]2C=C[C@@H]1C2,ester,Ambeed,monoalcohol,200.366,12.9526,-1.6204,3.8136,0,False,0,True,True,,12.9526,-1.6204,3.8136,42.63377145128026,2.395155699510127,11.283080614796653,1.6118686592566647,7.873346693751013,1.5746693387502027,4.174262588769423,0.5963232269670604
CCC1=C(O)C(=O)CC1,CCC1=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=C(CC)CCC3=O)[C@@H]3C=C[C@@H]2C3)C(=O)CC1,ester,Sigma-Aldrich,monoalcohol,126.155,12.8053,1.001,4.1018,2,False,0,True,True,,12.8053,1.001,4.1018,41.38983107721026,2.325271408832037,10.49510726958043,1.49930103851149,8.165688985015288,1.6331377970030576,4.227424345863566,0.6039177636947952
CCCCCCCCCCCCCCCC(O)(CC)CC,CCCCCCCCCCCCCCCC(CC)(CC)OC(=O)[C@@H]1[C@H](C(=O)OC(CC)(CC)CCCCCCCCCCCCCCC)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,298.555,13.2228,-3.5258,2.1882,0,False,0,True,True,,13.2228,-3.5258,2.1882,44.84368321447291,2.519308045756905,12.24391948029715,1.7491313543281641,7.422676352906682,1.4845352705813364,4.279341566175806,0.6113345094536866
