smiles,compound_type,reason
CCN1C/C(=C\C2=CC=C(C=C2)OCC)/C(=O)/C(=C/C3=CC=C(C=C3)OCC)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=C(C=CC=C2Cl)Cl)/C(=O)/C(=C/C3=C(C=CC=C3Cl)Cl)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC=CC=C2Cl)/C(=O)/C(=C/C3=CC=CC=C3Cl)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC(=C(C=C2)OC)OC)/C(=O)/C(=C/C3=CC(=C(C=C3)OC)OC)/C1,monoamine,no free amine NH found
CN1C/C(=C\C=C\C2=CC=CC=C2)/C(=O)/C(=C/C=C/C3=CC=CC=C3)/C1,monoamine,no free amine NH found
CN1C/C(=C\C2=CC(=C(C=C2)Cl)Cl)/C(=O)/C(=C/C3=CC(=C(C=C3)Cl)Cl)/C1,monoamine,no free amine NH found
CN1C/C(=C\C2=CC3=C(OCO3)C=C2)/C(=O)/C(=C/C4=CC5=C(OCO5)C=C4)/C1,monoamine,no free amine NH found
CN1C/C(=C\C2=CC=C(C=C2)OC)/C(=O)/C(=C/C3=CC=C(C=C3)OC)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=C(C=C(C=C2)Cl)Cl)/C(=O)/C(=C/C3=C(C=C(C=C3)Cl)Cl)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=C(C=C(C=C2)OC)OC)/C(=O)/C(=C/C3=C(C=C(C=C3)OC)OC)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C=C\C2=CC=CC=C2)/C(=O)/C(=C/C=C/C3=CC=CC=C3)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC=CC=C2Br)/C(=O)/C(=C/C3=CC=CC=C3Br)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC3=C(OCO3)C=C2)/C(=O)/C(=C/C4=CC5=C(OCO5)C=C4)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC=C(C=C2)Br)/C(=O)/C(=C/C3=CC=C(C=C3)Br)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC=C(C=C2)C)/C(=O)/C(=C/C3=CC=C(C=C3)C)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC=C(C=C2)Cl)/C(=O)/C(=C/C3=CC=C(C=C3)Cl)/C1,monoamine,no free amine NH found
C\1N(C/C(=C\C2=CC=CC3=CC=CC=C23)/C(=O)/C1=C/C4=CC=CC5=CC=CC=C45)CC6=CC=CC=C6,monoamine,no free amine NH found
CC1=CC=CC=C1/C=C\2/C(=O)/C(=C/C3=CC=CC=C3C)/CN(C2)CC4=CC=CC=C4,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC=CC(=C2)C)/C(=O)/C(=C/C3=CC=CC(=C3)C)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC=CC=C2C)/C(=O)/C(=C/C3=CC=CC=C3C)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=C(C=CC(=C2)Cl)Cl)/C(=O)/C(=C/C3=C(C=CC(=C3)Cl)Cl)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC(=C(C=C2)Cl)Cl)/C(=O)/C(=C/C3=CC(=C(C=C3)Cl)Cl)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC(=CC=C2)Br)/C(=O)/C(=C/C3=CC(=CC=C3)Br)/C1,monoamine,no free amine NH found
CCN1C/C(=C\C2=CC=CC=C2OCC)/C(=O)/C(=C/C3=CC=CC=C3OCC)/C1,monoamine,no free amine NH found
C\1N(C/C(=C\C2=CC=C(C=C2)Cl)/C(=O)/C1=C/C3=CC=C(C=C3)Cl)CC4=CC=CC=C4,monoamine,no free amine NH found
CC1=CC=C(C=C1)/C=C\2/C(=O)/C(=C/C3=CC=C(C=C3)C)/CN(C2)CC4=CC=CC=C4,monoamine,no free amine NH found
CC1=CC(=C(C=C1)/C=C\2/C(=O)/C(=C/C3=C(C=C(C=C3)C)C)/CN(C2)CC4=CC=CC=C4)C,monoamine,no free amine NH found
CCOC1=CC=C(C=C1)/C=C\2/C(=O)/C(=C/C3=CC=C(C=C3)OCC)/CN(C2)CC4=CC=CC=C4,monoamine,no free amine NH found
COC1=C(C=C(C=C1)/C=C\2/C(=O)/C(=C/C3=CC(=C(C=C3)OC)OC)/CN(C2)CC4=CC=CC=C4)OC,monoamine,no free amine NH found
C\1N(C/C(=C\C2=CC=CC=C2Cl)/C(=O)/C1=C/C3=CC=CC=C3Cl)CC4=CC=CC=C4,monoamine,no free amine NH found
C\1N(C/C(=C\C=C\C2=CC=CC=C2)/C(=O)/C1=C/C=C/C3=CC=CC=C3)CC4=CC=CC=C4,monoamine,no free amine NH found
COC1=CC(=C(C=C1)/C=C\2/C(=O)/C(=C/C3=C(C=C(C=C3)OC)OC)/CN(C2)CC4=CC=CC=C4)OC,monoamine,no free amine NH found
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=CC3=CC=C(C=C3)N4CCOCC4,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=N/N2C(=O)C(=NNC2=S)C,monoamine,no free amine NH found
CN(C)/C=C(\C(=O)OC)/NC(=O)C1=CC=CS1,monoamine,no free amine NH found
CC\1(C2=CC=CC=C2N(/C1=C/C(=S)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-])C)C,monoamine,no free amine NH found
CC1=CC=C(C=C1)C(=O)NC(=S)/C=C/2\C(C3=CC=CC=C3N2C)(C)C,monoamine,no free amine NH found
CC\1(C2=CC=CC=C2N(/C1=C/C(=S)NC(=O)C3=C(C=C(C=C3)Cl)Cl)C)C,monoamine,no free amine NH found
CN1C/C(=C\C2=C(C=CC=C2Cl)Cl)/C(=O)/C(=C/C3=C(C=CC=C3Cl)Cl)/C1,monoamine,no free amine NH found
CN1C/C(=C\C2=CC=C(C=C2)Br)/C(=O)/C(=C/C3=CC=C(C=C3)Br)/C1,monoamine,no free amine NH found
CCOC1=CC=C(C=C1)/C=C\2/C(=O)/C(=C/C3=CC=C(C=C3)OCC)/CN(C2)C,monoamine,no free amine NH found
CN1C/C(=C\C2=CC=CC=C2Br)/C(=O)/C(=C/C3=CC=CC=C3Br)/C1,monoamine,no free amine NH found
CN1C/C(=C\C2=CC(=C(C=C2)Cl)Cl)/C(=O)/C(=C/C3=C(C=C(C=C3)Cl)Cl)/C1,monoamine,no free amine NH found
CC1=CC=CC=C1/C=C\2/C(=O)/C(=C/C3=CC=CC=C3C)/CN(C2)C,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/C2=NNC(=O)CS2,monoamine,no free amine NH found
CC1=CC=C(C=C1)C2=CSC(=NN2C3=CC=CC=C3)/N=C/C4=CC5=C(C=C4)OCO5,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)N(C)C)CC(=O)C3=CC=C(C=C3)OC,monoamine,no free amine NH found
CCOC(=O)CC1=CSC(=N1)NC(=O)C2=CC(=C(C=C2)N3CCOCC3)[N+](=O)[O-],monoamine,no free amine NH found
C1=CC=C(C=C1)/C=C/2\C(=O)N=C(N2C3=CC=CC=C3)SCC(=O)NC4=CC=CC=C4,monoamine,no free amine NH found
C1CC2=CC=CC=C2N(C1)SC3=CC=CC=C3[N+](=O)[O-],monoamine,no free amine NH found
CC1(CC(=C(C(=O)C1)SC2=CC=C(C=C2)[N+](=O)[O-])N3CCOCC3)C,monoamine,no free amine NH found
C1CN(CCN1C2=CC=C(C=C2)Cl)C(=O)C3=CC=CC4=C3C5=CC=CC=C5C4=O,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/N2C(=NNC2=S)C3=CC=C(C=C3)Br,monoamine,no free amine NH found
CNC(=O)/N=C\1/N(CCS1)C2=CC=CC=C2,monoamine,no free amine NH found
CC1(CC(=C(C(=O)C1)SC2=CC=C(C=C2)I)N3CCOCC3)C,monoamine,no free amine NH found
CC1(CC(=C(C(=O)C1)SC2=CC=C(C=C2)[N+](=O)[O-])N3CCCCC3)C,monoamine,no free amine NH found
C1CC2=CC=CC=C2N(C1)C(=S)NC(=O)CC3=CC=CC=C3,monoamine,no free amine NH found
CCCCNC(=O)C1=CC(=C(C=C1)N2CCCCC2)[N+](=O)[O-],monoamine,no free amine NH found
COC(=O)C1=CC=C(C=C1)NC(=O)CSC2=NC(=O)/C(=C\C3=CC=CC=C3)/N2C4=CC=CC=C4,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=C\2/C(=NN(C2=O)C3=NN=C(C(=O)N3)C)C,monoamine,no free amine NH found
CC(C)C(=O)/C=C/1\N(C2=CC=CC=C2S1)C,monoamine,no free amine NH found
CN\1C2=CC=CC=C2S/C1=C/C(=O)COC3=CC=CC=C3,monoamine,no free amine NH found
C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC=CC=C3,monoamine,no free amine NH found
C1COCCN1CCCNC(=O)C2=CC(=C(C=C2)Cl)Cl,monoamine,no free amine NH found
C1CC2=CC=CC=C2N(C1)CC(=O)NC3=CC=CC=C3[N+](=O)[O-],monoamine,no free amine NH found
C1CC2=CC=CC=C2N(C1)CC(=O)NC3=CC(=C(C=C3)Cl)[N+](=O)[O-],monoamine,no free amine NH found
C1CCC(CC1)NC(=O)NCCCN2CCOCC2,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2Cl,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)[N+](=O)[O-],monoamine,no free amine NH found
CC1=CC=C(C=C1)C(=O)/C(=C/C2=CC=C(O2)N(C)C)/C#N,monoamine,no free amine NH found
CCOC(=O)C1=C(N(C(=C(C1C2=CC=C(O2)C3=CC=CC=C3)C(=O)OCC)C)C)C,monoamine,no free amine NH found
COC1=CC=C(C=C1)N2CCN(CC2)C(=O)/C=C/C3=CC=C(C4=CC=CC=C34)OC,monoamine,no free amine NH found
COC1=CC=C(C2=CC=CC=C21)/C=C/C(=O)N3CCN(CC3)C4=CC=CC=N4,monoamine,no free amine NH found
COC1=CC=C(C2=CC=CC=C21)/C=C/C(=O)N3CCN(CC3)CC4=CC=CC=C4,monoamine,no free amine NH found
COC1=CC=C(C2=CC=CC=C21)/C=C/C(=O)N3CCN(CC3)C4=CC(=CC=C4)Cl,monoamine,no free amine NH found
CN1C/C(=C/C2=CC=CC3=CC=CC=C23)/C(=O)/C(=C\C4=CC=CC5=CC=CC=C45)/C1,monoamine,no free amine NH found
C1COCCN1CCN2C(=CSC2=NC3=CC=CC=C3)C4=CC=CC=C4,monoamine,no free amine NH found
CCC1=CC=C(C=C1)N2CC3=C(O2)C4=CC=CC=C4C5=C3C(=O)C6=CC=CC=C65,monoamine,no free amine NH found
C1C(=NN2C(=NSC2=N1)C3=CC(=CC=C3)Br)C4=CC=C(C=C4)[N+](=O)[O-],monoamine,no free amine NH found
C1C(=NN2C(=NSC2=N1)C3=CC(=CC=C3)Br)C4=CC=C(C=C4)Cl,monoamine,no free amine NH found
C1CCN(CC1)CN2C(=S)OC(=N2)COC3=C(C=C(C=C3)Cl)Cl,monoamine,no free amine NH found
C1C(=NN2C(=NSC2=N1)C3=CC=C(C=C3)Br)C4=CC=C(C=C4)Cl,monoamine,no free amine NH found
CCOC1=CC=C(C=C1)N2C(=NN(C2=S)CN3CCCCC3)COC4=C(C=C(C=C4)Cl)Cl,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N=C(N2CC(=O)C3=CC=CC=C3)N4CCCCC4,monoamine,no free amine NH found
C1C(=NN2C(=NSC2=N1)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-],monoamine,no free amine NH found
CCOC1=CC=C(C=C1)N2C(=NN(C2=S)CN3CCOCC3)COC4=C(C=C(C=C4)Cl)Cl,monoamine,no free amine NH found
C1COCCN1CN2C(=S)N(C(=N2)COC3=C(C=C(C=C3)Cl)Cl)C4=CC=CC=C4,monoamine,no free amine NH found
C1COCCN1CN2C(=S)N(C(=N2)CC3=CC=CC=C3)C4=CC=CC=C4,monoamine,no free amine NH found
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CC3=CC=CC=C3)C(=O)OCC,monoamine,no free amine NH found
C[Ge](C)(C)CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,monoamine,no free amine NH found
COC1=CC=CC(=C1OC)CCN2CCC(=O)CC2,monoamine,no free amine NH found
COC1=CC=C(C=C1)OCC2=NN(C(=S)N2C3=CC=CC=C3)CN4CCOCC4,monoamine,no free amine NH found
COC1=CC=C(C=C1)OCC2=NN(C(=S)N2C3=CC=CC=C3)CN4CCCCC4,monoamine,no free amine NH found
COC1=CC=C(C=C1)N2C(=NN(C2=S)CN3CCCCC3)COC4=C(C=C(C=C4)Cl)Cl,monoamine,no free amine NH found
CCOC1=CC=C(C=C1)N2C(=NN(C2=S)CN3CCCCC3)C4=CC=C(C=C4)Br,monoamine,no free amine NH found
COC1=CC=C(C=C1)OCC2=NN(C(=S)N2CC=C)CN3CCOCC3,monoamine,no free amine NH found
CC(C)(C)C1=CC=C(C=C1)OCC2=NN(C(=S)N2C3=CC=CC=C3)CN4CCOCC4,monoamine,no free amine NH found
CCOC1=CC=C(C=C1)N2C(=NN(C2=S)CN3CCOCC3)C4=CC=C(C=C4)Br,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC(=NN2)C3=CC=CC=C3OCC4=CC=CC5=CC=CC=C54,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC(=NN2)C3=CC(=CC=C3)OCC4=CC=C(C=C4)Cl,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC(=NN2)C3=CC(=CC=C3)OCC4=CC=CC=C4Cl,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC(=NN2)C3=CC=C(C=C3)OCCC4=CC=CC=C4,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)CCN2C=NC(=C2C3=CC=CC=C3)C4=CC=CC=C4,monoamine,no free amine NH found
CC(=O)CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCOCC3,monoamine,no free amine NH found
CC(=C)CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCOCC3,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)NC(=N2)CN(C)CC3=CC=CC=C3,monoamine,no free amine NH found
CCOC(=O)CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCOCC3,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCOCC3)CCCC4=CC=CC=C4,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCOCC3)CCC4=CC=CC=C4,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCOCC3)CCOC,monoamine,no free amine NH found
CCCCCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCOCC3,monoamine,no free amine NH found
CCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCOCC3,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN(C)CC3=CC=CC=C3)CC(=O)N,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN(C)CC3=CC=CC=C3)CC4=CC=C(C=C4)Cl,monoamine,no free amine NH found
CCCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCCCC3,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCCCC3)CCCC4=CC=CC=C4,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C2=CC(=NN2)C3=CC=CC=C3OCC4=CC=C(C=C4)Cl,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN(C)CC3=CC=CC=C3)CCC4=CC=CC=C4,monoamine,no free amine NH found
CCCCCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN(C)CC3=CC=CC=C3,monoamine,no free amine NH found
CCCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN(C)CC3=CC=CC=C3,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=N/NC(=O)C(=O)NC2=CC=C(C=C2)Br,monoamine,no free amine NH found
C1COCCN1CC(=O)NC2=C(C=CC(=C2)Cl)Cl,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=N/NC(=O)C(=O)NC2=CC=C(C=C2)Br,monoamine,no free amine NH found
CCN(CC)C1=NC2=C(N1CC(=C)C)C(=O)N(C(=O)N2C)C,monoamine,no free amine NH found
CCN(CC)CC(=O)NC1=C(C=CC(=C1)Cl)Cl,monoamine,no free amine NH found
C1CCN(CC1)CC(=O)NC2=C(C=CC(=C2)Cl)Cl,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCOCC3)CC4=CC=CC=C4,monoamine,no free amine NH found
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCOCC3)CC4=CC=C(C=C4)Cl,monoamine,no free amine NH found
CN1C2=C(C(=O)NC1=O)N(C(=N2)N(C)C)CC3=CC=CC=C3,monoamine,no free amine NH found
CN1C2=CC=CC=C2N=C1SCC(=O)N/N=C/C3=CC=C(C=C3)N(C)C,monoamine,no free amine NH found
C1CCN(CC1)P(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,monoamine,no free amine NH found
COC1=CC(=CC(=C1OC)OC)C/C(=C/C#N)/N2CCOCC2,monoamine,no free amine NH found
C1CCN(C1)P(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,monoamine,no free amine NH found
CN(C)CCNC(=O)C1=CC=NC2=CC=CC=C12,monoamine,no free amine NH found
CN(C1=CC=CC=C1)C2=NN(C(=O)O2)C3=CC=CC=C3,monoamine,no free amine NH found
CC1=NC(=NC=C1)N(C)OCC2=CC=CC=C2,monoamine,no free amine NH found
CC1=C(CP(=O)(C1)N(C(C)C)C(C)C)C,monoamine,no free amine NH found
CCN(CC)CCOC1=C(N=CC=C1)Cl,monoamine,no free amine NH found
CC(C#C/C=C/CN(C/C=C/C#CC(C)(C)C)C)(C)C,monoamine,no free amine NH found
CN(CC1=CC=CC=C1)C2=CC3=C(C=C2)OC(=O)C=C3,monoamine,no free amine NH found
CN(C)C1=NN(C(=O)O1)C2=CC(=C(C=C2)Cl)Cl,monoamine,no free amine NH found
CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2,monoamine,no free amine NH found
CN(C)C1=CC=NC=C1,monoamine,no free amine NH found
CC(=C)C(=O)OCCN(C)C,monoamine,no free amine NH found
CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl,monoamine,no free amine NH found
CC(C)CN1CCC(=O)CC1,monoamine,no free amine NH found
CC1=NN(C(=C1)C(=O)N2CCN(CC2)C3=CC(=CC=C3)Cl)C4=CC=CC=C4,monoamine,no free amine NH found
CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,monoamine,no free amine NH found
C1COCCN1N=O,monoamine,no free amine NH found
CCOC(=O)NC1=C[N+](=NO1)N2CCOCC2,monoamine,no free amine NH found
CN(C)C,monoamine,no free amine NH found
CCCN(CCC)CCC,monoamine,no free amine NH found
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)[N+](=O)[O-],monoamine,no free amine NH found
CN1CCC(=CC1)C2=CNC3=C2C=C(C=C3)OC,monoamine,no free amine NH found
CN1CCC(=CC1)C2=CNC3=C2C=C(C=C3)Br,monoamine,no free amine NH found
CN1CCC(CC1)C2=CNC3=CC=CC=C32,monoamine,no free amine NH found
CN1CCC(=CC1)C2=CNC3=C2C=CC(=C3)[N+](=O)[O-],monoamine,no free amine NH found
CN1CCC(=CC1)C2=CNC3=C2C=C(C=C3)[N+](=O)[O-],monoamine,no free amine NH found
C1CC2(CCC1N(CC3=CC=CC=C3)CC4=CC=CC=C4)OCCO2,monoamine,no free amine NH found
CC(C)(C)OC(=O)N1CCC(CC1)N2CCC3=C2C=CC(=C3)Br,monoamine,no free amine NH found
C1CC(=O)CCC1N(CC2=CC=CC=C2)CC3=CC=CC=C3,monoamine,no free amine NH found
C1CN(CC=C1C2=CNC3=C2C=C(C=C3)C#N)CC4=CC=CC=C4,monoamine,no free amine NH found
C1CN(CC=C1C2=CNC3=C2C=CC(=C3)[N+](=O)[O-])CC4=CC=CC=C4,monoamine,no free amine NH found
C1CN(CC=C1C2=CNC3=C2C=CC(=C3)Br)CC4=CC=CC=C4,monoamine,no free amine NH found
C1CN(CC=C1C2=CNC3=C2C=C(C=C3)Br)CC4=CC=CC=C4,monoamine,no free amine NH found
C1CN(CC=C1C2=CNC3=CC=CC=C32)CC4=CC=CC=C4,monoamine,no free amine NH found
CN1CCC(=CC1)C2=CNC3=C2C=CC(=C3)C#N,monoamine,no free amine NH found
CN1CCC(=CC1)C2=CNC3=C2C=CC(=C3)Br,monoamine,no free amine NH found
C1CCN(C1)CC2=CNC3=C2C=C(C=C3)[N+](=O)[O-],monoamine,no free amine NH found
C1CCN(C1)CC2=CNC3=C2C=C(C=C3)Br,monoamine,no free amine NH found
C1CCN(C1)CC2=CNC3=CC=CC=C32,monoamine,no free amine NH found
CN(C)CC1=CNC2=C1C=CC(=C2)C#N,monoamine,no free amine NH found
CC(C)(C)OC(=O)N1CCC(CC1)N2CCCC3=CC=CC=C32,monoamine,no free amine NH found
CNC(=O)NC1=CC=C(C=C1)C2=NC(=NC(=N2)Cl)N3CCOCC3,monoamine,no free amine NH found
CC(C)(C)OC(=O)N1CCN(CC1)C2=NC=C(C=C2)I,monoamine,no free amine NH found
B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(C=C2)N3CCOCC3)Cl,monoamine,no free amine NH found
C1CCN(CC1)C2=CC=C(C=C2)Br,monoamine,no free amine NH found
CC(C)(C)OC(=O)N1CCC(CC1)N2CCCC3=C2C=CC(=C3)Br,monoamine,no free amine NH found
C1CCN(CC1)CC2=CC=C(C=C2)Br,monoamine,no free amine NH found
C1CCN(C1)CC2=CNC3=C2C=CC(=C3)[N+](=O)[O-],monoamine,no free amine NH found
CN(C)CC1=CNC2=C1C=CC(=C2)[N+](=O)[O-],monoamine,no free amine NH found
C1COCCN1CC2=CNC3=CC=CC=C32,monoamine,no free amine NH found
COC1=CC2=C(C=C1)NC=C2CN3CCCC3,monoamine,no free amine NH found
C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3,monoamine,no free amine NH found
C(CO)N(CCO)C(CO)(CO)CO,monoamine,no free amine NH found
CN(C)C1=CC=CC=C1,monoamine,no free amine NH found
C1COCCN1CCCS(=O)(=O)O,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)C=O,monoamine,no free amine NH found
C(CO)N(CCO)CCO,monoamine,no free amine NH found
C(C(=O)O)N(CC(=O)O)CC(=O)O,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=C/2\C(=O)NC(=S)S2,monoamine,no free amine NH found
CN(C)/C=C(/C(=O)OC)\NC(=O)C1=CC=CC=C1,monoamine,no free amine NH found
CN(C)CC1=CC=C(C=C1)C=C,monoamine,no free amine NH found
CC1=CC2=C(C=C1)N(C3=C2CCCC3=O)CCN(CC4=CC=CC=C4)CC5=CC=CC=C5,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,monoamine,no free amine NH found
C1COCCN1C2=C(C=C(C=C2)Cl)[N+](=O)[O-],monoamine,no free amine NH found
COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC=CC=C3C4=CC=CC=C4C(=O)O,monoamine,no free amine NH found
C1CCN(CC1)C2=C(C(=CC=C2)Cl)C=O,monoamine,no free amine NH found
CCOC1=CC2=C(C=C1)OC(=O)C=C2CN3CCN(CC3)C(=O)OC(C)(C)C,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)/C=N/NC(=O)CC#N,monoamine,no free amine NH found
C1CN(CCN1C2=CC=C(C=C2)[N+](=O)[O-])C(=O)C3=CC=C(C=C3)C4=CC=CC=C4,monoamine,no free amine NH found
CN1CCN(CC1)C(=O)C2=CC=CC=C2[N+](=O)[O-],monoamine,no free amine NH found
C1C2=CC=CC=C2CN1C3=CC(=CC=C3)[N+](=O)[O-],monoamine,no free amine NH found
CN(C)CCNC(=O)C1=CC=C(C=C1)[N+](=O)[O-],monoamine,no free amine NH found
C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])Cl,monoamine,no free amine NH found
C1CCN(C1)C2=CC(=CC=C2)[N+](=O)[O-],monoamine,no free amine NH found
C1CCN(C1)C2=C(C=C(C=C2)C=O)[N+](=O)[O-],monoamine,no free amine NH found
C1CN(CCC1C(=O)O)C2=NC(=CS2)C3=CC=CC=C3,monoamine,no free amine NH found
C1CCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C=O,monoamine,no free amine NH found
CC1=CC2=C(C=C1)C(=CC(=O)O2)CN3CCN(CC3)C(=O)OC(C)(C)C,monoamine,no free amine NH found
COC1=C(C=C(C=C1)C=O)CN2CCOCC2,monoamine,no free amine NH found
CCN(CC)CC1=C(C=CC(=C1)C=O)OC,monoamine,no free amine NH found
COC1=C(C=C(C=C1)C=O)CN2CCCC3=CC=CC=C32,monoamine,no free amine NH found
CN(C)C1=NC(=NC=C1Br)OC,monoamine,no free amine NH found
CN(C)C1=NC=C(C=C1)Br,monoamine,no free amine NH found
C1COCCN1C2=NC=C(C=N2)Br,monoamine,no free amine NH found
CN(C)C1=NC(=NC=C1Br)Cl,monoamine,no free amine NH found
CN(C)C1=CN=CC(=N1)I,monoamine,no free amine NH found
C1COCCN1C2=NC(=C(S2)C=O)Cl,monoamine,no free amine NH found
CCN(CC)C1=CC(=NC2=NC=NN12)C,monoamine,no free amine NH found
CN(C)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](C)C)C=C3O2)C4=C(C=C(C=C4)N=C=S)C(=O)[O-],monoamine,no free amine NH found
CCOC(=O)C=C1CN(C1)C(C2=CC=CC=C2)C3=CC=CC=C3,monoamine,no free amine NH found
C[Si](C)(C)N(CCCBr)[Si](C)(C)C,monoamine,no free amine NH found
CN1C2=CC=CC=C2OC1=CC3=CC=[N+](C4=CC=CC=C34)CCC[N+](C)(C)C,monoamine,no free amine NH found
CC(C)(C)OC(=O)N1CCN(CC1)C2COC2,monoamine,no free amine NH found
CN(C)C=C1C(=O)CCCC1=O,monoamine,no free amine NH found
C1CC2(C1=O)CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4,monoamine,no free amine NH found
CCN1C/C(=C\C2=C(C(=C(C=C2)OC)OC)OC)/C(=O)/C(=C/C3=C(C(=C(C=C3)OC)OC)OC)/C1,monoamine,no free amine NH found
C1COCCN1C2=NC(=CS2)C3=CC=CC=C3,monoamine,no free amine NH found
C1COCCN1CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC6=CC=CC=C56)N=C3,monoamine,no free amine NH found
CN1C=C(C2=C(C1=O)C=NC=C2)C3=C(C=C(C(=C3)OC)CN(C)C)OC,monoamine,no free amine NH found
