smiles,compound_type,reason
CN1CCN(CC1)C(=O)C2=COC=C2,monoamine,no free amine NH found
CN1CCN(CC1)C(=O)NC2=CC=CC=C2,monoamine,no free amine NH found
C1CCN(CC1)C2=NN=C(C=C2)Cl,monoamine,no free amine NH found
CC(C)N1CCC(CC1)NC(=O)C2CC2,monoamine,no free amine NH found
C1CN(CC2=C1SC=C2)C3=NC=CC=N3,monoamine,no free amine NH found
CC1=CC(=NC(=N1)N2CCCCC2)C(=O)O,monoamine,no free amine NH found
C1CCN(CC1)CC(=O)N2CCCC2=O,monoamine,no free amine NH found
CC1=C(C(=NO1)C(=O)O)CN2CCCCC2,monoamine,no free amine NH found
COC1=C(C=CC(=C1)N2CCCC2)C=O,monoamine,no free amine NH found
CC1=CC=C(C=C1)CN2CCNC(=O)C2,monoamine,no free amine NH found
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)CSC(=S)N3CCOCC3,monoamine,no free amine NH found
C1COCCN1C(=S)SCC(=O)NC2=NC3=C(S2)C=C(C=C3)Cl,monoamine,no free amine NH found
C1CCN(CC1)C(=S)SCC(=O)NC2=NC3=C(S2)C=C(C=C3)Cl,monoamine,no free amine NH found
CC1CCN(CC1)C(=S)SCC(=O)NC2=C(N(N(C2=O)C3=CC=CC=C3)C)C,monoamine,no free amine NH found
C1CCC(CC1)N(C2CCCCC2)C(=O)CSC(=S)N3CCOCC3,monoamine,no free amine NH found
C1CCC(CC1)N(C2CCCCC2)C(=O)CSC(=S)N3CCCCC3,monoamine,no free amine NH found
CCOC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC(=S)N3CCC(CC3)C,monoamine,no free amine NH found
CC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC(=S)N3CCCC3,monoamine,no free amine NH found
CC1CCN(CC1)C(=S)SCC(=O)NC2=NC3=C(S2)C=C(C=C3)C,monoamine,no free amine NH found
CC1CCN(CC1)C2=NC3=CC=CC=C3N2,monoamine,no free amine NH found
CCOCCN1C2=CC=CC=C2N=C1N3CCOCC3,monoamine,no free amine NH found
CN1CCN(CC1)C(=O)C2=CC=CC=C2C3=NC4=CC=CC=C4N3,monoamine,no free amine NH found
C1COCCN1C2=CC=CC=C2[N+](=O)[O-],monoamine,no free amine NH found
CC1CCN(CC1)C2=NC3=CC=CC=C3N2CC4=CC=CC=C4,monoamine,no free amine NH found
C1CCN(C1)C2=C(C(=O)NN=C2)Cl,monoamine,no free amine NH found
CC1=CC=CC=C1N2CCN(CC2)C(=O)C,monoamine,no free amine NH found
CCC1=C(N=C(NC1=O)N2CCOCC2)C,monoamine,no free amine NH found
CC1CCN(CC1)C2=NC=C(C=C2)[N+](=O)[O-],monoamine,no free amine NH found
C1COCCN1C2=C(C=CC=C2Cl)[N+](=O)[O-],monoamine,no free amine NH found
C1CCCN(CCC1)CC(=O)O,monoamine,no free amine NH found
C1COCCN1CC2=CC=CS2,monoamine,no free amine NH found
CC1=CC=C(C=C1)C(=O)N2CCN(CC2)C,monoamine,no free amine NH found
CC1=C(SC=C1C(=O)N2CCN(CC2)C)C,monoamine,no free amine NH found
CC1=CC2=NS(=O)(=O)CCN2C=C1,monoamine,no free amine NH found
C1CC(=O)N(C1)C(=O)CN2CCOCC2,monoamine,no free amine NH found
C1CCN(C1)CC2=NC3=C(C(=O)N2)SC=C3,monoamine,no free amine NH found
CC1CCN(CC1)CC(=O)C2=CC=CS2,monoamine,no free amine NH found
C1COCCN1CC2=CC=C(C=C2)C(=O)N,monoamine,no free amine NH found
CS(=O)(=O)N1CCN(CC1)C2CCCCC2,monoamine,no free amine NH found
COC1=CC=CC=C1CN2CCOCC2,monoamine,no free amine NH found
CC1=C(NC(=O)N1)CN2CCCCC2,monoamine,no free amine NH found
CN1CCN(CC1)S(=O)(=O)C2=CC=CC=C2,monoamine,no free amine NH found
C1COCCN1C2=CC(=CC=C2)[N+](=O)[O-],monoamine,no free amine NH found
CC1=CC=C(O1)C(=O)NC2CCN(CC2)C,monoamine,no free amine NH found
CN(C1=CC=CC=C1)C2=NC=CC(=O)N2,monoamine,no free amine NH found
C1CN(CC(=O)N1)CC2=CC(=C(C=C2)Cl)Cl,monoamine,no free amine NH found
CC1=CC=C(S1)C(=O)NC2CCN(CC2)C,monoamine,no free amine NH found
C1COCCN1C2=C(C=CC(=N2)Cl)C(=O)O,monoamine,no free amine NH found
C1COCCN1C2=C(C(=O)NN=C2)Cl,monoamine,no free amine NH found
C1CCN(CC1)C2=CN=C(C=C2)[N+](=O)[O-],monoamine,no free amine NH found
C1CCN(C1)CC2=CC=C(C=C2)C(=O)N,monoamine,no free amine NH found
CC1=CC(=NC(=C1C#N)N2CCOCC2)C,monoamine,no free amine NH found
C1CN(CC2=C1N=NS2)CC3=CC=CC=C3,monoamine,no free amine NH found
CC1=CN=C(N=C1)N2CCOCC2,monoamine,no free amine NH found
C1CCN(CC1)C2=C(C=CC=N2)[N+](=O)[O-],monoamine,no free amine NH found
CNC(=O)C1=CC=C(C=C1)N2CCOCC2,monoamine,no free amine NH found
CN1CCC(CC1)NC(=O)C2CCCCC2,monoamine,no free amine NH found
C1CCN(CC1)C2=CC=CC=C2C(=O)O,monoamine,no free amine NH found
C1CN(CC(=O)N1)C2=C(C(=CC=C2)Cl)C#N,monoamine,no free amine NH found
C1CCN(CC1)CC2=C(C=CO2)C(=O)O,monoamine,no free amine NH found
CC(C)N1CCN(CC1)C(=O)C2=CC=CS2,monoamine,no free amine NH found
CC1=CC(=C(C=C1)CN2CCOCC2)C,monoamine,no free amine NH found
CC1=C(SC=C1)CN2CCOCC2,monoamine,no free amine NH found
C1CCC(CC1)(C#N)N2CCOCC2,monoamine,no free amine NH found
CC1(CCN(CC1)C)C(=O)O,monoamine,no free amine NH found
CN1CCC(CC1)NC(=O)C2=CC=CO2,monoamine,no free amine NH found
C1=CC(=C(C=C1/C=C/2\C(=O)N=C3N2C=CS3)Cl)Cl,monoamine,no free amine NH found
CCCCN(CCCC)CC1=CN=CN=C1C(=O)O,monoamine,no free amine NH found
CC1(N(C(=O)C(=CC2=CC=C(O2)N3CCOCC3)C(=O)N1C)C)C,monoamine,no free amine NH found
CC(=O)NC1=CC=C(C=C1)N2CCC3=C(C2)C=C(C=C3)[N+](=O)[O-],monoamine,no free amine NH found
CN(C)CC#CC1=CC(=CN=C1)C#N,monoamine,no free amine NH found
CN(C)C1=NC(=NS1)C2=CC=CC=C2,monoamine,no free amine NH found
C1CN(CC=C1)C2=NC=C(C=C2)[N+](=O)[O-],monoamine,no free amine NH found
CC1=CC(=CC(=C1)OCC(=O)N2CCN(CC2)C3=CC=CC=C3OC)C,monoamine,no free amine NH found
CCOC1=CC=C(C=C1)NC(=O)/C(=C/C2=CC(=C(C=C2)N3CCCC3)C)/C#N,monoamine,no free amine NH found
CC1CCN(CC1)CC2=NC3=C(C(=C(S3)C)C)C(=N2)Cl,monoamine,no free amine NH found
CCN(CC)C1=CC=C(C=C1)C=CC(=O)C2=CC=C(C=C2)Br,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=C/C2=NC3=CC(=C(C=C3S2)SC)OC,monoamine,no free amine NH found
CC1=CC=C(C=C1)S(=O)(=O)/N=C\2/C(=C(C3=CC=CC=C3C2=O)[O-])[N+]4=CC=C(C=C4)N(C)C,monoamine,no free amine NH found
CC1=CC(=C(C(=C1)C)S(=O)(=O)ON(C)C)C,monoamine,no free amine NH found
C1CCN(C1)C2=CC(=O)C3=CC=CC=C3C2=O,monoamine,no free amine NH found
CN(C)C1=CC(=O)C2=CC=CC=C2C1=O,monoamine,no free amine NH found
CN(C)/C=C/S(=O)(=O)CC1=CC=CC=C1,monoamine,no free amine NH found
C1CCN(CC1)C2CS(=O)(=O)C2,monoamine,no free amine NH found
CCN(CC)C1=CC2=C(C=C1)OC(=O)C(=N2)C,monoamine,no free amine NH found
COCCN1C(=O)/C(=C/C2=CC(=C(C=C2OC)N3CCCC3)OC)/SC1=NC4=CC=CC=C4,monoamine,no free amine NH found
CCN(CC)C1=CC2=C(C=C1)C3=C(C(=CC(=O)O3)Cl)C(=O)O2,monoamine,no free amine NH found
C1CCN(CC1)/C=C\2/C(=O)CNC2=O,monoamine,no free amine NH found
C1COCCN1CC2=NN=C(N2C3=CC=CC=C3)SCC4=CC(=C(C=C4)Cl)Cl,monoamine,no free amine NH found
C1COCCN1C2=C3C=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCOC(=O)C5=CC=CC=C5Cl,monoamine,no free amine NH found
CN(C)C=NC1=C(C=C(C2=NON=C12)Br)Br,monoamine,no free amine NH found
CCOC(=O)C1=CCCN(C1)C,monoamine,no free amine NH found
CN(C)CCS(=O)(=O)CC1=CC=CC=C1,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)NC=O,monoamine,no free amine NH found
CN(C)C(=S)OC1=CC=CC2=C1C(=O)CC2,monoamine,no free amine NH found
CN(C)C(=S)OC1=CC2=C(C=C1)C(=O)CC2,monoamine,no free amine NH found
