sidechain_smiles,monomer_smiles,source,link,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,Ra_Diiodomethane,Ra_n_Hexadecane,Ra_PTFE,RED_Water,RED_Diiodomethane,RED_n_Hexadecane,RED_PTFE
Nc1cc(Cl)c(S(=O)(=O)Cl)cc1S(=O)(=O)Cl,O=C(Nc1cc(Cl)c(S(=O)(=O)Cl)cc1S(=O)(=O)Cl)[C@@H]1[C@H](C(=O)Nc2cc(Cl)c(S(=O)(=O)Cl)cc2S(=O)(=O)Cl)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/s602078,27.8642,65.8794,5.3673,66.80922571179822,65.16606571069026,70.02732423997078,72.72355258243371,3.7533272871796752,9.309437958670037,14.005464847994157,10.389078940347673
Nc1cccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c1,O=C(Nc1cccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)c1)[C@@H]1[C@H](C(=O)Nc2cccc(S(=O)(=O)N3CCCN(S(=O)(=O)c4ccc5c(c4)OCCO5)CC3)c2)[C@@H]2C=C[C@@H]1C2,Ambeed,https://www.ambeed.com/products/1203494-49-8.html,32.04,62.0392,11.0859,64.71641503861288,64.98060676424929,70.44678782918352,73.94526296829298,3.635753653854656,9.282943823464183,14.089357565836703,10.563608995470426
N#CSc1cc(S(N)(=O)=O)ccc1N,N#CSc1cc(S(N)(=O)=O)ccc1NC(=O)[C@@H]1[C@H](C(=O)Nc2ccc(S(N)(=O)=O)cc2SC#N)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph008161,26.3922,65.8036,6.1957,65.25702364351288,64.24829410038838,69.10796245592833,71.54303484484007,3.666124923792858,9.178327728626911,13.821592491185665,10.220433549262866
Nc1cc2oc3cc(=O)c(-c4ccc(O)cc4O)cc-3nc2cc1-c1ccc(O)cc1O,O=C(Nc1cc2oc3cc(=O)c(-c4ccc(O)cc4O)cc-3nc2cc1-c1ccc(O)cc1O)[C@@H]1[C@H](C(=O)Nc2cc3oc4cc(=O)c(-c5ccc(O)cc5O)cc-4nc3cc2-c2ccc(O)cc2O)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/274720?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,33.6862,3.163,60.8223,42.78803159821681,63.80113986481746,70.13185116657053,73.96647286473784,2.403821999899821,9.11444855211678,14.026370233314106,10.566638980676833
CC1=C(C(=O)OC(C)(C)C)CC(C(=O)OC(C)(C)C)=C(C)N1,CC1=C(C(=O)OC(C)(C)C)CC(C(=O)OC(C)(C)C)=C(C)N1C(=O)[C@@H]1[C@H](C(=O)N2C(C)=C(C(=O)OC(C)(C)C)CC(C(=O)OC(C)(C)C)=C2C)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/659142?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,-13.3793,-3.5416,8.9388,69.5046737274552,62.89513295923621,60.132258147852724,53.03738898135918,3.904756950980629,8.9850189941766,12.026451629570545,7.576769854479883
Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c2c1O,Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)OC(=O)[C@@H]3[C@H](C(=O)OS(=O)(=O)c4cc(O)c5c(O)c(N)c(S(=O)(=O)O)cc5c4)[C@@H]4C=C[C@@H]3C4)cc(O)c2c1O,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph004677,30.1105,47.5078,43.2097,42.98180843019521,62.688558253719634,69.90700162308494,73.05183964781449,2.4147083387750117,8.955508321959949,13.981400324616988,10.435977092544928
COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)Nc3cc(OC)ccc32)S1,COC(=O)C1=C(C(=O)OC)SC(=C2C(=S)C(C)(C)N(C(=O)[C@@H]3[C@H](C(=O)N4c5cc(OC)ccc5C(=C5SC(C(=O)OC)=C(C(=O)OC)S5)C(=S)C4(C)C)[C@@H]4C=C[C@@H]3C4)c3cc(OC)ccc32)S1,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QY-9632,28.3568,62.6708,7.0615,63.883524322394734,62.4678262776127,67.52006857112927,70.41331905151183,3.5889620405839735,8.9239751825161,13.504013714225854,10.059045578787405
N#Cc1c(N)nc(SCC(N)=O)c(C#N)c1-c1ccc(OCC2CC2)cc1,N#Cc1c(NC(=O)[C@@H]2[C@H](C(=O)Nc3nc(SCC(N)=O)c(C#N)c(-c4ccc(OCC5CC5)cc4)c3C#N)[C@@H]3C=C[C@@H]2C3)nc(SCC(N)=O)c(C#N)c1-c1ccc(OCC2CC2)cc1,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/sigma/sml1958?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,29.6993,60.6438,12.9431,60.509312820507226,61.98089978380436,67.55264079227399,70.71844962956979,3.3993995966577093,8.854414254829194,13.510528158454798,10.102635661367113
Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c2c1O,O=C(Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c2c1O)[C@@H]1[C@H](C(=O)Nc2c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(O)c3c2O)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph004677,29.2748,50.871,37.8141,44.66643482493314,61.45860427938468,68.49194507363622,71.53083796496446,2.5093502710636595,8.779800611340669,13.698389014727244,10.218691137852066
O=C1c2cc(S(=O)(=O)NCCCO)ccc2-c2ccc(S(=O)(=O)NCCCO)cc21,O=C1c2cc(S(=O)(=O)NCCCO)ccc2-c2ccc(S(=O)(=O)NCCCOC(=O)[C@@H]3[C@H](C(=O)OCCCNS(=O)(=O)c4ccc5c(c4)C(=O)c4cc(S(=O)(=O)NCCCO)ccc4-5)[C@@H]4C=C[C@@H]3C4)cc21,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/r293636,29.7316,59.2048,16.7789,57.68999083454599,61.28039492766018,67.14440663592165,70.33520755987004,3.2410107210419095,8.754342132522883,13.428881327184332,10.047886794267148
CC(C)(C)P(CCNCCP(C(C)(C)C)C(C)(C)C)C(C)(C)C,CC(C)(C)P(CCN(CCP(C(C)(C)C)C(C)(C)C)C(=O)[C@@H]1[C@H](C(=O)N(CCP(C(C)(C)C)C(C)(C)C)CCP(C(C)(C)C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2)C(C)(C)C,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/739022?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,-10.9998,-16.0086,8.643,70.47199247303854,61.024132301246205,57.55078664206077,50.771042958757505,3.959100700732502,8.717733185892316,11.510157328412154,7.253006136965358
N#CCCN(CCC#N)S(=O)(=O)c1ccc(N)cc1,N#CCCN(CCC#N)S(=O)(=O)c1ccc(NC(=O)[C@@H]2[C@H](C(=O)Nc3ccc(S(=O)(=O)N(CCC#N)CCC#N)cc3)[C@@H]3C=C[C@@H]2C3)cc1,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/s195073,24.5508,63.3392,7.0631,61.72768342332312,60.973395680493304,65.8334598878868,67.99637843892864,3.4678473833327597,8.71048509721333,13.166691977577361,9.713768348418379
CCOc1ccc2c(c1)C(=C1SC(C(=O)OC)=C(C(=O)OC)S1)C(=S)C(C)(C)N2,CCOc1ccc2c(c1)C(=C1SC(C(=O)OC)=C(C(=O)OC)S1)C(=S)C(C)(C)N2C(=O)[C@@H]1[C@H](C(=O)N2c3ccc(OCC)cc3C(=C3SC(C(=O)OC)=C(C(=O)OC)S3)C(=S)C2(C)C)[C@@H]2C=C[C@@H]1C2,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QY-7451,28.0616,60.9906,4.7955,63.733168655339895,60.67153094203244,65.54533581308436,68.45995272310667,3.5805150929966234,8.667361563147491,13.109067162616872,9.779993246158096
Cc1cc(N=Nc2c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(N)c3c2O)ccc1O,Cc1cc(N=Nc2c(S(=O)(=O)OC(=O)[C@@H]3[C@H](C(=O)OS(=O)(=O)c4cc5cc(S(=O)(=O)O)cc(N)c5c(O)c4N=Nc4ccc(O)c(C)c4)[C@@H]4C=C[C@@H]3C4)cc3cc(S(=O)(=O)O)cc(N)c3c2O)ccc1O,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/s984191,32.0599,45.8672,38.1743,44.788304147065,60.35092997104518,67.48759151407019,71.13578655198802,2.5161968621946627,8.621561424435026,13.497518302814038,10.162255221712574
CNS(=O)(=O)c1cc(S(N)(=O)=O)c(Cl)cc1N,CNS(=O)(=O)c1cc(S(N)(=O)=O)c(Cl)cc1NC(=O)[C@@H]1[C@H](C(=O)Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)NC)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph005933,26.7269,59.895,17.9983,54.968325264010005,60.08665161522982,65.92594938512453,68.54462431387309,3.0881081608994383,8.58380737360426,13.185189877024905,9.792089187696154
